i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,1.01,14 days 00:00:00,True,0.9,-238.0780579086691,2.8857701116043923,-235.19228779706472,12450,-1.0396867723103459e-168,0
3,1.0,0.95,0.95,1.01,14 days 00:00:00,False,0.9,-8.104958632389515,0.9219759386791111,-7.182982693710404,1038,-4.223979262522477e-09,0
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.1,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,2.0917422753202246e-11,-91.6407920079686
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.1,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.47710066763030556,-7.196682533122312
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.2,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,3.6738966998853935e-23,-99.45581645748983
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.2,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.19810087835257176,-15.074563272915231
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,3.70681898682359e-36,-99.97344766475555
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.06954339495328908,-23.589349007861692
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.4,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,1.2879282854178546e-50,-99.999077837648
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.4,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.01975553744214279,-32.70368946009429
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.5,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,7.442974341926603e-67,-99.9999788182564
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.5,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.004220346662971216,-42.411380428110476
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.6,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,2.303290215966621e-85,-99.99999971299574
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.6,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,0.0005854954554250588,-52.81975996174604
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,4.257610750177318e-107,-99.99999999816154
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,3.346163163451929e-05,-64.65630761998676
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.8,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,5.0193238726004445e-133,-99.99999999999557
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.8,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,-1.5754786962188358e-06,0
3,1.0,0.95,0.95,1.02,14 days 00:00:00,True,0.9,-238.0780579086691,3.529342804373609,-234.5487151042955,12450,-1.6733793686378267e-168,0
3,1.0,0.95,0.95,1.02,14 days 00:00:00,False,0.9,-8.104958632389515,1.3260667300462647,-6.778891902343251,1020,-5.893407772228843e-09,0
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.1,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,2.4018334309579885e-11,-91.52335149642596
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.1,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.524298145718589,-6.308918053722435
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.2,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,4.8249363834763024e-23,-99.44063996324745
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.2,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.23854055476271635,-13.4673407153876
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,5.547016881255575e-36,-99.972345196327
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.09150323241811341,-21.44347273903514
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.4,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,2.188104509489429e-50,-99.99902716745002
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.4,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.02832846543276445,-30.21058239886227
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.5,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,1.4306086675820945e-66,-99.99997737431057
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.5,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.006578561568909835,-39.77269870234195
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.6,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,4.9917120524421895e-85,-99.99999968969459
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.6,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,0.0009896707161787066,-50.25288637160001
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,1.0369677362467913e-106,-99.99999999798874
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,6.118857475912343e-05,-62.436428257797296
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.8,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,1.3694710306697692e-132,-99.99999999999508
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.8,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,-3.1095299485569143e-06,0
3,1.0,0.95,0.95,1.03,14 days 00:00:00,True,0.9,-238.0780579086691,4.93188755560939,-233.14617035305972,12450,-5.098626800415837e-168,0
3,1.0,0.95,0.95,1.03,14 days 00:00:00,False,0.9,-8.104958632389515,2.2843955916117378,-5.8205630407777775,984,-1.2526724747680348e-08,0
